text	label
what's the average time it takes for a new card to arrive	replacement_card_duration
certainly not	no
how long should i fry an egg for	cook_time
how long is the drive from sfo to fisherman's wharf	distance
what is my annual percentage rate	interest_rate
that is incorrect	no
please put babysitting on my to do list	todo_list_update
i need to know when i was paid last	payday
what should i do now that my car battery is dead	jump_start
do i have brush my teeth on my todo list	todo_list
it could be either	maybe
can you let me listen to elvis	play_music
is my day off request approved	pto_request_status
"""i want to hear the song that has, """"baby shark, doo doo"""	play_music
can you get me any recommendations for the place i'm traveling to	travel_suggestion
please cancel the table for two at burger king	cancel_reservation
i need to know the date in 256 days	date
do i have reservations at creme at 7 pm	confirm_reservation
how long does it take to get to the airport in dallas	distance
i would like to try and confirm that i have a reservation at macaroni grill for silva	confirm_reservation
what's the amount due on my vet and vehicle registration bills	bill_balance
find instructions for how to change the oil in a 2015 passat	oil_change_how
how many days until my amex card reaches it expiration date	expiration_date
how long until my milk expires	food_last
please put a block on my us bank account immediately	freeze_account
i have had farm fresh eggs in the fridge for a few months, are they still okay to ingest	food_last
i must pay my cable bill from my checking account	pay_bill
what date will my next paycheck be here	payday
tell me when was car in shop	last_maintenance
does my card have an expiration date and if so, what is it	expiration_date
tell me the date of my last car check up	last_maintenance
can you put on music by beach house	play_music
what festivals are there to see in paris	travel_suggestion
i need to know the travel alerts for kenya	travel_alert
my card expires in what month	expiration_date
i need help finding the apr on my aspire loan	interest_rate
i want to know the status of my vacation request	pto_request_status
make my settings go back to their factory settings	reset_settings
does the state department say anything about traveling to haiti	travel_alert
tell the restaurant to cancel my reservation	cancel_reservation
why did macy's decline my card	card_declined
what do you know me as	user_name
what time is my next paycheck coming	payday
i need you to act swiftly and freeze all activity on my capital one checking	freeze_account
pay my gas bill with my checking account	pay_bill
would you please put a block on my chase account right away	freeze_account
i want a block placed on my checking account right away	freeze_account
can you tell me the correct spelling of liaison	spelling
it is very much false	no
what is the sitting time at this restaurant	how_busy
how long will it take to get a new card	replacement_card_duration
repeal the dinner reservation	cancel_reservation
do the shower playlist please	play_music
give me the routing number for my paragon account	routing
that's definitely false	no
i just finished taking out my recycling, so cross that off my to do list	todo_list_update
what is the reason for whole foods declining my card	card_declined
direct me to the application for a new credit card	new_card
tell me how to jump start my own car battery	jump_start
can you talk to me in french	change_language
dates for my car in the shop	last_maintenance
is there a wait time to get into tgifridays	how_busy
when will it be in 10 days	date
clear my to do list	todo_list_update
when was the date that i was last paid	payday
when did i get my last paycheck	payday
how do you spell verisimilitude	spelling
i want a pic of how to jump start	jump_start
how do i redeem my visa points	redeem_rewards
i need to know my routing number	routing
roughly how long can i leave bananas in the freezer before i have to throw them out	food_last
how long will it take to get to tacoma	distance
what is the name you would use for me	user_name
either of them could be i'm not sure	maybe
when was my car last in the shop	last_maintenance
where do i find the routing number for navy federal	routing
how long do i need to cook pot au feu for	cook_time
if i go by bus, how long will it take to get to the airport	distance
do you have instructions on jump starting a chevy	jump_start
how long does it take until i reach the sky harbor airport	distance
how many miles will it take to get to my destination	distance
when did i take my car to the shop last	last_maintenance
what do i owe to jcp	bill_balance
maybe one, maybe the other	maybe
suggest some things for me to do while i am in los angeles	travel_suggestion
do you know my work income	income
tell me the last time i had my car checked out at sam's repair shop	last_maintenance
how is the word acquaintance spelled	spelling
i want to pay my electric bill	pay_bill
can you tell me how to spell the word schadenfreude, i don't know how it's spelt	spelling
go back to your normal settings please	reset_settings
when was my last payment	payday
i need to know when my card is set to expire please	expiration_date
give me today's date	date
what was the problem with my card yesterday	card_declined
are there any travel alerts in that region	travel_alert
you know the reservation i have on 2:00 friday i confirm it	confirm_reservation
how much money do i have coming in each month	income
when was my car last worked on	last_maintenance
in the central timezone, what time is it	time
speak in french please	change_language
what time is it in punta gorda, florida	time
how long will it take me to get to walmart	distance
is it safe for people to travel to pakistan	travel_alert
so please reset your factory settings	reset_settings
has my vacation request been updated	pto_request_status
you are wrong	no
can you translate that to french	change_language
revert to original settings	reset_settings
after losing a credit card, how long does it take to get a new one	replacement_card_duration
when will i received a replacement card	replacement_card_duration
about how much time will it take to get to the laundry in this area	distance
change response language from mandarin to english	change_language
verify my reservation for smith and wollensky at 6:45	confirm_reservation
