text	label	truth
Can I exchange currencies with this app?	exchange_via_app	exchange_via_app
What countries can I travel to and have access to their currencies?	exchange_via_app	fiat_currency_support
My phone is lost.  What do I do to prevent someone from using the app?	lost_or_stolen_phone	lost_or_stolen_phone
Someone stole my phone.	lost_or_stolen_phone	lost_or_stolen_phone
How many transactions can I do with one disposable card?	supported_cards_and_currencies	disposable_card_limits
What if I need multiple disposable cards?	supported_cards_and_currencies	disposable_card_limits
Is Visa or Mastercard available?	supported_cards_and_currencies	visa_or_mastercard
Why was I charged extra for transferring money?	declined_cash_withdrawal	transfer_fee_charged
How do I re-add a card to the app?	getting_virtual_card	card_linking
The app is showing an ATM withdrawl that I didn't make.	declined_cash_withdrawal	cash_withdrawal_not_recognised
what is the exchange rate?	exchange_rate	exchange_rate
I believe my credit card was stolen.	lost_or_stolen_card	lost_or_stolen_card
Is there a charge for a foreign currency exchange?	exchange_rate	exchange_charge
I withdrew money but the full amount wasn't dispensed.	declined_cash_withdrawal	wrong_amount_of_cash_received
We need both a visa and a Mastercard.	supported_cards_and_currencies	visa_or_mastercard
What kind of foreign exchange rate will I get when I exchange my money?	exchange_rate	exchange_rate
Why is identity verification mandatory?	why_verify_identity	why_verify_identity
Are there extra charges for exchanging currency?	exchange_via_app	exchange_charge
How long will it take for my ID to verify?	unable_to_verify_identity	unable_to_verify_identity
Where can I exchange my money for EUR?	supported_cards_and_currencies	fiat_currency_support
Do you support any currency?	exchange_via_app	fiat_currency_support
Will it cost more money if my currency needs to be exchanged?	exchange_via_app	exchange_charge
Why caused my top up to not work?	top_up_failed	top_up_failed
I would like to add money to my account through my American Express.	supported_cards_and_currencies	supported_cards_and_currencies
How can I use American Express to add money to my account?	supported_cards_and_currencies	supported_cards_and_currencies
what is the top up limit	top_up_limits	top_up_limits
I want to use a European bank card for a top up. Must I pay?	supported_cards_and_currencies	top_up_by_card_charge
I need my card quickly	lost_or_stolen_card	card_delivery_estimate
I transferred money yesterday, but it still isn't available?	balance_not_updated_after_cheque_or_cash_deposit	pending_transfer
Which credit or debit cards can I use to top up?	supported_cards_and_currencies	supported_cards_and_currencies
How do I report my card stolen?	lost_or_stolen_card	lost_or_stolen_card
I attempted to get money using a foreign currency at an ATM but the rate was highly inaccurate!	declined_cash_withdrawal	wrong_exchange_rate_for_cash_withdrawal
I didn't receive the right amount of cash back	declined_cash_withdrawal	wrong_amount_of_cash_received
Can you tell me the limits for top ups?	top_up_limits	top_up_limits
Can you tell me why my top up didn't work?	top_up_failed	top_up_failed
Am I able to change my PIN at any cash machines?	change_pin	change_pin
My bank statement doesn't show the cash deposit I made recently.	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_cheque_or_cash_deposit
What are the cards and currencies that are supported?	exchange_via_app	supported_cards_and_currencies
I did not get as much cash as I requested at the ATM.	declined_cash_withdrawal	wrong_amount_of_cash_received
Why can't I verify my identity?	unable_to_verify_identity	unable_to_verify_identity
Is it possible to open an account for my children?	supported_cards_and_currencies	age_limit
May I choose between Visa and Mastercard?	supported_cards_and_currencies	visa_or_mastercard
I have a top up that didn't go through.  Why?	top_up_failed	top_up_failed
I received cash from the ATM earlier, but this shows up as pending in the app.  I've got the cash already.  How can this be still pending?	balance_not_updated_after_cheque_or_cash_deposit	pending_cash_withdrawal
Is there a limit to top-up amounts?	top_up_limits	top_up_limits
How do I deposit cash into my account?	supported_cards_and_currencies	top_up_by_cash_or_cheque
Is the bank the only place I can change my PIN>	change_pin	change_pin
How much is a cross currency exchange, and can I check to see if I have any discounts available?	supported_cards_and_currencies	exchange_charge
Please advise what is the exchange rate	exchange_rate	exchange_rate
Can I use cash to top up my account?	supported_cards_and_currencies	top_up_by_cash_or_cheque
I would rather the Mastercard.	supported_cards_and_currencies	visa_or_mastercard
How many disposable cards can I make in a single day?	supported_cards_and_currencies	disposable_card_limits
Where did your guys exchange rates come from?	exchange_rate	exchange_rate
I didn't take out money from an ATM but my app statement shows that I did. How can I fix this?	declined_cash_withdrawal	cash_withdrawal_not_recognised
why wouldn't you support american express? its a card i like and use often and i don't want to get a different one	supported_cards_and_currencies	supported_cards_and_currencies
How can I request cash back? The ATM just gave me the wrong amount, the app shows the amount that I've been actually charged though...	declined_cash_withdrawal	wrong_amount_of_cash_received
I NEED TO KNOW HOW TO TRANSFER MONEY INTO MY BANK ACCOUNT. PLEASE HELP	supported_cards_and_currencies	transfer_into_account
How much does it cost to top up by card?	supported_cards_and_currencies	top_up_by_card_charge
So, I am a new customer and attempted to top up for the very first time today. It's already been pending for half an hour and doesn't seem to be working. I need to please get this fixed.	pending_top_up	pending_top_up
what are exchange rates based on	exchange_rate	exchange_rate
Why is my debit card being declined when I have money?	declined_cash_withdrawal	declined_card_payment
Hello. Can you tell me if you use Visa or Mastercard?	supported_cards_and_currencies	visa_or_mastercard
What is the best way to exchange currency?	exchange_via_app	exchange_via_app
Help.  I have a stolen card!	lost_or_stolen_card	lost_or_stolen_card
Help me with my contactless which isn't working.	lost_or_stolen_phone	contactless_not_working
How long will it take for my transferred money to show up?	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_bank_transfer
From where are you getting your exchange rates?	exchange_rate	exchange_rate
How do I unblock my pin after entering it wrong too many times?	pin_blocked	pin_blocked
I was wondering whether exchanging currencies can be done on this app.	exchange_via_app	exchange_via_app
Can I reactivate my PIN?	pin_blocked	pin_blocked
I still don't have my card after 2 weeks.  What should I do?	lost_or_stolen_card	card_arrival
Why was my card payment reverted?	declined_card_payment	reverted_card_payment?
I need a new passcode.	passcode_forgotten	passcode_forgotten
Can you look into my top up please.  I made it over three hours ago and yet it's still pending.	pending_top_up	pending_top_up
Is there a way to reset my passcode?	passcode_forgotten	passcode_forgotten
Do cash machines let me change my pin?	change_pin	change_pin
Is there a limit on top-ups?	top_up_limits	top_up_limits
How do I select a Mastercard instead of a Visa?	supported_cards_and_currencies	visa_or_mastercard
What things do I need to verify my identity?	verify_my_identity	verify_my_identity
I can't top up my account using my American Express with Apple Pay.	apple_pay_or_google_pay	apple_pay_or_google_pay
It seems my top up is reverted?	top_up_failed	top_up_reverted
What do you need for my identity check?	verify_my_identity	verify_my_identity
How do I top up my card using your app? I'm new to this.	apple_pay_or_google_pay	topping_up_by_card
My card was not accepted.	declined_card_payment	declined_card_payment
Somebody has stolen my card, I need help please.	lost_or_stolen_card	lost_or_stolen_card
Hi, I was trying to use my card but it was declining by ATM. I have cross checked with two different ATMs but i was facing the same issue. Could you please check my account.	declined_cash_withdrawal	declined_cash_withdrawal
My phone was stolen so I no longer have access to the app.	lost_or_stolen_phone	lost_or_stolen_phone
What can I use to verify my identify?	verify_my_identity	verify_my_identity
Can the card be mailed and used in Europe?	supported_cards_and_currencies	country_support
What steps do I take to receive another passcode?	passcode_forgotten	passcode_forgotten
Tell me how many transactions I can do with a disposable card.	supported_cards_and_currencies	disposable_card_limits
Is there a reason I was charged a fee for using my card as payment? I've never had an extra fee before.	declined_card_payment	card_payment_fee_charged
Why am I required to verify my identity?	why_verify_identity	why_verify_identity
Why did I not get my cash back after I withdrew?	declined_cash_withdrawal	wrong_amount_of_cash_received
Why was I charged for card payment?	declined_card_payment	card_payment_fee_charged
I need a fast transfer from China?  How fast will it be?	exchange_via_app	transfer_timing
I really need money from my card today, but my card is getting declined. Please help!!	declined_card_payment	top_up_failed
im so mad right now. theres several charges that I think my x boyfriend made on my card. the companys on the website wouldn't refund me my money, they told me to contact my bank. DO something please.	declined_cash_withdrawal	direct_debit_payment_not_recognised
I got mugged yesterday and lost access to the app. I need to regain it.	lost_or_stolen_phone	lost_or_stolen_phone
My card payment did not complete.	declined_card_payment	declined_card_payment
I think my top-up was cancelled.	top_up_failed	top_up_reverted
It doesn't look like the top-up completed.	pending_top_up	pending_top_up
I would like to exchange currencies, but is there an extra charge to do so?	exchange_via_app	exchange_charge
Will there be any extra fees for European bank card for top up?	supported_cards_and_currencies	top_up_by_card_charge
What should I do if I forgot my passcode?	passcode_forgotten	passcode_forgotten
What us the fee to transfer money from my bank?	supported_cards_and_currencies	top_up_by_bank_transfer_charge
I need my card as soon as possible.	lost_or_stolen_card	card_delivery_estimate
Looks like my card payment was duplicated. I went to pay at the store earlier, got declined once,second time it works. App still stays pending for one of the payments. Can you please remove one of them as it's wrong and clearly was declined?	declined_card_payment	transaction_charged_twice
Where can cards be delivered?	supported_cards_and_currencies	order_physical_card
Why can't I verify my id?	unable_to_verify_identity	unable_to_verify_identity
What are the fees of using an international card to add money?	supported_cards_and_currencies	top_up_by_card_charge
My phone was stolen yesterday.  What should I do?	lost_or_stolen_phone	lost_or_stolen_phone
I got mugged yesterday and can't use the app.	lost_or_stolen_phone	lost_or_stolen_phone
The ATM did not allow me to withdraw	declined_cash_withdrawal	declined_cash_withdrawal
What do I need to do to change my PIN?	change_pin	change_pin
My card was taken by the ATM.	declined_cash_withdrawal	card_swallowed
how come my transfer didn't work	declined_card_payment	failed_transfer
What are all the currencies and cards supported to use this?	exchange_via_app	supported_cards_and_currencies
I would like to change my pin.	change_pin	change_pin
I need to create several disposable cards per day.	supported_cards_and_currencies	disposable_card_limits
I need to find out what is the limit for top-ups.	top_up_limits	top_up_limits
Can I put my old card back into the system? I just found it/	lost_or_stolen_card	card_linking
What should I do if my card is missing?	lost_or_stolen_card	lost_or_stolen_card
Can I exchange to EUR?	exchange_via_app	fiat_currency_support
Why did I get charged a fee when I tried to obtain cash?	declined_card_payment	cash_withdrawal_charge
What do I need to do to verify my identity?	verify_my_identity	verify_my_identity
I can't use my card.	lost_or_stolen_card	card_not_working
Are there limits on auto top-up?	top_up_limits	automatic_top_up
Is there a limit to how many transactions I can make on one disposable card?	supported_cards_and_currencies	disposable_card_limits
How do I know if my top up was unsuccessful?	top_up_failed	top_up_failed
What do I need to verify my identity	verify_my_identity	verify_my_identity
If I have more than one disposable card, can I make five payments on each of them?	supported_cards_and_currencies	disposable_card_limits
The refund isn't showing up on my account.	balance_not_updated_after_cheque_or_cash_deposit	Refund_not_showing_up
I want to skip verification of my identity.	unable_to_verify_identity	why_verify_identity
How do I go forth on verifying my identity?	verify_my_identity	verify_my_identity
I am experiencing difficulty providing my identity.	unable_to_verify_identity	unable_to_verify_identity
I got some cash of an ATM earlier but this shows up as pending in the app. How can this be still pending, I've got the cash already?	balance_not_updated_after_cheque_or_cash_deposit	pending_cash_withdrawal
does it cost to exchange currencies?	exchange_via_app	exchange_charge
do I need anything for the identity check?	verify_my_identity	verify_my_identity
Is it possible to change to another currency?	exchange_via_app	exchange_via_app
card is lost, please help	lost_or_stolen_card	lost_or_stolen_card
Is there a specific type you need for identity verification?	verify_my_identity	verify_my_identity
I got a fee for an ATM withdrawal.	declined_cash_withdrawal	cash_withdrawal_charge
What currency's can i exchange for?	supported_cards_and_currencies	exchange_via_app
I need help resetting my passcode to access my app.	passcode_forgotten	passcode_forgotten
Are there any extra fees for adding money into the international card?	supported_cards_and_currencies	top_up_by_card_charge
My card payment didn't work, can you help?	declined_card_payment	declined_card_payment
Where can I go to get a virtual card?	getting_virtual_card	getting_virtual_card
The ATM ate my card.	declined_cash_withdrawal	card_swallowed
I would like to transfer money from my other bank account into this one.	supported_cards_and_currencies	transfer_into_account
How do I top up with Apple Pay?	apple_pay_or_google_pay	apple_pay_or_google_pay
My transaction is still showing that is pending from my cash withdrawal.	balance_not_updated_after_cheque_or_cash_deposit	pending_cash_withdrawal
Is there anything I need to do since my phone was stolen?	lost_or_stolen_phone	lost_or_stolen_phone
Where can I get a virtual card?	getting_virtual_card	getting_virtual_card
There is a charge on my card that I did not make	declined_card_payment	card_payment_not_recognised
I cannot prove my own identity.	unable_to_verify_identity	unable_to_verify_identity
The cash I tried to draw from the ATM was not approved.	declined_cash_withdrawal	declined_cash_withdrawal
I need a disposable virtual card, how do I get one?	getting_virtual_card	get_disposable_virtual_card
The  money I transferred does not show in the balance.	balance_not_updated_after_cheque_or_cash_deposit	balance_not_updated_after_bank_transfer
What cards and currencies are supported?	exchange_via_app	supported_cards_and_currencies
Can I change from one currency to another?	exchange_via_app	exchange_via_app
I was charged a fee after using my card and I shouldn't have been.	declined_card_payment	card_payment_fee_charged
I would like to change my card PIN.	change_pin	change_pin
Can you explain disposable cards?	supported_cards_and_currencies	get_disposable_virtual_card
What happened to where my top-up was canceled?	top_up_failed	top_up_reverted
I cannot verify my identity	unable_to_verify_identity	unable_to_verify_identity
I don't know how to top up my Google pay.	apple_pay_or_google_pay	apple_pay_or_google_pay
I accidentally blocked my PIN. How do I reset it?	pin_blocked	pin_blocked
Why do you require so many identity details?	why_verify_identity	why_verify_identity
I'm having a problem with a money transfer.  I sent some money to a friend a couple of hours ago, and they haven't received it yet.  Why hasn't it gotten to them? How long do transfers need to go through?	balance_not_updated_after_cheque_or_cash_deposit	transfer_not_received_by_recipient
Where can I reset the passcode?	passcode_forgotten	passcode_forgotten
I like to Mastercard rather than Visa.	supported_cards_and_currencies	visa_or_mastercard
The application reverted my top-up.	top_up_failed	top_up_reverted
I lost my phone!	lost_or_stolen_phone	lost_or_stolen_phone
Can I use this app to change dollars into euros?	exchange_via_app	exchange_via_app
Why won't my passcode work?	passcode_forgotten	passcode_forgotten
How long do transfers need to come through? I sent some money to a friend, she needs it urgently, but seems it's still not there yet after a couple hours.	balance_not_updated_after_cheque_or_cash_deposit	transfer_not_received_by_recipient
Hi, I don't think your exchange rate is right. I need you to check the official interbank exchange please.	exchange_rate	card_payment_wrong_exchange_rate
Is there a maximum i can top up?	top_up_limits	top_up_limits
My statement has a dollar I have been charged showing up on it.	balance_not_updated_after_cheque_or_cash_deposit	extra_charge_on_statement
What currencies are used in your exchange?	exchange_via_app	fiat_currency_support
Will you accept my other card?	supported_cards_and_currencies	supported_cards_and_currencies
I go the wrong exchange rate applied to my purchase in a foreign country.	exchange_rate	card_payment_wrong_exchange_rate
How long does it take for transfers to finish?  I sent funds to my pal, and she says that she has not gotten anything.	balance_not_updated_after_cheque_or_cash_deposit	transfer_not_received_by_recipient
Can I exchange between GBP and USD on the app?	exchange_via_app	exchange_via_app
How much will I pay to exchange foreign currency?	exchange_rate	exchange_charge
Help! I keep checking my account, but my refund is not showing. I requested that a seller refund my money a while back, but there is no money showing in my account. What can you do for me?	balance_not_updated_after_cheque_or_cash_deposit	Refund_not_showing_up
How to decide if I get a Visa or Mastercard?	supported_cards_and_currencies	visa_or_mastercard
They charged me for paying with my card.	declined_card_payment	card_payment_fee_charged
If I need to exchange currency is there an extra fee?	exchange_via_app	exchange_charge
Please tell me which cash machines will allow me to change my pin.	change_pin	change_pin
I would like to know any restrictions for the disposable cards.	supported_cards_and_currencies	disposable_card_limits
How can I change the PIN?  Do I have to go to a real bank?	change_pin	change_pin
Can I space out how often money is transferred along my travels?	supported_cards_and_currencies	automatic_top_up
My PIN is blocked, what do I do?	pin_blocked	pin_blocked
Do I need to verify my identity?	unable_to_verify_identity	why_verify_identity
Why doesn't my disposable virtual card work?	getting_virtual_card	virtual_card_not_working
Why did you charge me for a cash withdrawal?	declined_cash_withdrawal	cash_withdrawal_charge
Can I unblock my pin?	pin_blocked	pin_blocked
Where can I find a virtual card?	getting_virtual_card	getting_virtual_card
Do you have a list of exchange rates?	exchange_rate	exchange_rate
my phone is gone	lost_or_stolen_phone	lost_or_stolen_phone
How do your exchange rates work?	exchange_rate	exchange_rate
